,Score,Offense,Defense,Expected Points,,,,,,,,,,,,,,,,,,,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,8-Sep,8:20PM ET,boxscore,W,,Jan-00,@,Los Angeles Rams,31,10,23,413,292,121,4,19,243,191,52,3,13.89,10.29,-3.96
2,Mon,19-Sep,7:15PM ET,boxscore,W,,Feb-00,,Tennessee Titans,41,7,23,414,313,101,,12,187,107,80,4,17.69,18.01,1.55
3,Sun,25-Sep,1:00PM ET,boxscore,L,,1-Feb,@,Miami Dolphins,19,21,31,497,382,115,1,15,212,171,41,,15.88,-7.45,-4.86
4,Sun,2-Oct,1:00PM ET,boxscore,W,,1-Mar,@,Baltimore Ravens,23,20,22,326,201,125,2,22,296,134,162,2,2.1,2.66,-1.69
5,Sun,9-Oct,1:00PM ET,boxscore,W,,1-Apr,,Pittsburgh Steelers,38,3,21,552,432,120,2,23,364,310,54,2,20.66,9.42,3.54
6,Sun,16-Oct,4:25PM ET,boxscore,W,,1-May,@,Kansas City Chiefs,24,20,26,443,318,125,1,23,387,319,68,2,11.13,-6.45,0.56
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,30-Oct,8:20PM ET,boxscore,W,,1-Jun,,Green Bay Packers,27,17,20,369,216,153,2,21,398,190,208,1,12.79,-5.55,4.01
9,Sun,6-Nov,1:00PM ET,boxscore,L,,2-Jun,@,New York Jets,17,20,19,317,183,134,2,21,310,136,174,1,0.54,-7.64,2.11
10,Sun,13-Nov,1:00PM ET,boxscore,L,OT,3-Jun,,Minnesota Vikings,30,33,29,486,311,175,4,24,481,334,147,2,1.45,-4.8,-0.39
11,Sun,20-Nov,1:00PM ET,boxscore,W,,3-Jul,,Cleveland Browns,31,23,22,357,186,171,,27,396,316,80,1,6,-10.86,13.72
12,Thu,24-Nov,12:30PM ET,boxscore,W,,3-Aug,@,Detroit Lions,28,25,28,401,237,164,1,22,326,230,96,2,16.07,-12.71,-3.07
13,Thu,1-Dec,8:15PM ET,boxscore,W,,3-Sep,@,New England Patriots,24,10,22,355,223,132,1,14,242,182,60,,9.5,1.41,3.26
14,Sun,11-Dec,1:00PM ET,preview,,,,,New York Jets,,,,,,,,,,,,,,,
15,Sun,18-Dec,1:00PM ET,preview,,,,,Miami Dolphins,,,,,,,,,,,,,,,
16,Sat,24-Dec,1:00PM ET,preview,,,,@,Chicago Bears,,,,,,,,,,,,,,,
17,Mon,2-Jan,8:30PM ET,preview,,,,@,Cincinnati Bengals,,,,,,,,,,,,,,,
18,Sun,8-Jan,1:00PM ET,preview,,,,,New England Patriots,,,,,,,,,,,,,,,
