Score,Offense,Defense,Expected Points,,,,,,,,,,,,,,,,,,,,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,11-Sep,1:00PM ET,boxscore,W,,Jan-00,,New England Patriots,20,7,18,307,242,65,,17,271,193,78,3,6.08,8.28,1.98
2,Sun,18-Sep,1:00PM ET,boxscore,W,,Feb-00,@,Baltimore Ravens,42,38,27,547,461,86,2,23,473,318,155,,32,-20.31,-7.09
3,Sun,25-Sep,1:00PM ET,boxscore,W,,Mar-00,,Buffalo Bills,21,19,15,212,171,41,,31,497,382,115,1,7.45,-15.88,4.86
4,Thu,29-Sep,8:15PM ET,boxscore,L,,1-Mar,@,Cincinnati Bengals,15,27,20,378,293,85,2,16,371,304,67,,0.48,-9.11,-3.73
5,Sun,9-Oct,1:00PM ET,boxscore,L,,2-Mar,@,New York Jets,17,40,19,295,158,137,2,21,322,187,135,,-6.15,-11.86,-3.66
6,Sun,16-Oct,1:00PM ET,boxscore,L,,3-Mar,,Minnesota Vikings,16,24,23,458,385,73,3,11,234,156,78,,-8.38,4.43,-4.75
7,Sun,23-Oct,8:20PM ET,boxscore,W,,3-Apr,,Pittsburgh Steelers,16,10,17,372,261,111,,19,341,246,95,3,0.04,6.72,-2.49
8,Sun,30-Oct,1:00PM ET,boxscore,W,,3-May,@,Detroit Lions,31,27,27,476,369,107,1,22,393,311,82,,25.47,-19.14,-0.59
9,Sun,6-Nov,1:00PM ET,boxscore,W,,3-Jun,@,Chicago Bears,35,32,21,379,302,77,,23,368,116,252,,19.83,-17.18,2.01
10,Sun,13-Nov,1:00PM ET,boxscore,W,,3-Jul,,Cleveland Browns,39,17,29,491,296,195,,20,297,185,112,1,28.5,1.04,-4.93
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,27-Nov,1:00PM ET,boxscore,W,,3-Aug,,Houston Texans,30,15,25,339,273,66,1,14,210,174,36,3,-1.9,22.74,-3.97
13,Sun,4-Dec,4:05PM ET,boxscore,,,,@,San Francisco 49ers,,,,,,,,,,,,,,,
14,Sun,11-Dec,4:05PM ET,preview,,,,@,Los Angeles Chargers,,,,,,,,,,,,,,,
15,Sun,18-Dec,1:00PM ET,preview,,,,@,Buffalo Bills,,,,,,,,,,,,,,,
16,Sun,25-Dec,1:00PM ET,preview,,,,,Green Bay Packers,,,,,,,,,,,,,,,
17,Sun,1-Jan,1:00PM ET,preview,,,,@,New England Patriots,,,,,,,,,,,,,,,
18,Sun,8-Jan,1:00PM ET,preview,,,,,New York Jets,,,,,,,,,,,,,,,
