,Score,Offense,Defense,Expected Points,,,,,,,,,,,,,,,,,,,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,11-Sep,1:00PM ET,boxscore,W,,Jan-00,@,Detroit Lions,38,35,27,455,239,216,,23,386,205,181,1,21.15,-15.67,-0.78
2,Mon,19-Sep,8:30PM ET,boxscore,W,,Feb-00,,Minnesota Vikings,24,7,25,486,323,163,1,20,264,202,62,3,14.26,7.86,-7.37
3,Sun,25-Sep,1:00PM ET,boxscore,W,,Mar-00,@,Washington Commanders,24,8,21,400,328,72,,20,240,153,87,1,9.65,18.29,-8.92
4,Sun,2-Oct,1:00PM ET,boxscore,W,,Apr-00,,Jacksonville Jaguars,29,21,25,401,191,210,1,13,219,148,71,4,-0.18,11.06,-1.97
5,Sun,9-Oct,4:25PM ET,boxscore,W,,May-00,@,Arizona Cardinals,20,17,24,357,218,139,,23,363,239,124,1,10.63,-12.33,5.16
6,Sun,16-Oct,8:20PM ET,boxscore,W,,Jun-00,,Dallas Cowboys,26,17,22,268,132,136,,21,315,181,134,3,7.95,0.04,3.76
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,30-Oct,1:00PM ET,boxscore,W,,Jul-00,,Pittsburgh Steelers,35,13,20,401,290,111,,21,302,158,144,2,23.31,4.96,-2.01
9,Thu,3-Nov,8:15PM ET,boxscore,W,,Aug-00,@,Houston Texans,29,17,24,360,217,143,1,20,303,135,168,2,17.84,-1.89,-2.38
10,Mon,14-Nov,8:15PM ET,boxscore,L,,1-Aug,,Washington Commanders,21,32,18,264,170,94,4,25,330,178,152,2,-1.89,-4.13,-5.98
11,Sun,20-Nov,1:00PM ET,boxscore,W,,1-Sep,@,Indianapolis Colts,17,16,18,314,173,141,2,14,284,185,99,1,-3.73,9.33,-1.97
12,Sun,27-Nov,8:20PM ET,boxscore,W,,1-Oct,,Green Bay Packers,40,33,29,500,137,363,1,19,342,236,106,2,20.82,-11.56,0.51
13,Sun,4-Dec,1:00PM ET,boxscore,,,,,Tennessee Titans,,,,,,,,,,,,,,,
14,Sun,11-Dec,1:00PM ET,preview,,,,@,New York Giants,,,,,,,,,,,,,,,
15,Sun,18-Dec,1:00PM ET,preview,,,,@,Chicago Bears,,,,,,,,,,,,,,,
16,Sat,24-Dec,4:25PM ET,preview,,,,@,Dallas Cowboys,,,,,,,,,,,,,,,
17,Sun,1-Jan,1:00PM ET,preview,,,,,New Orleans Saints,,,,,,,,,,,,,,,
18,Sun,8-Jan,1:00PM ET,preview,,,,,New York Giants,,,,,,,,,,,,,,,
